time,open,high,low,close,,
1.61E+12,45134.11,46571.3,44950.53,46217.19,,
1.61E+12,46217.18,46492.33,45850,46161.83,,
1.61E+12,46166.16,46796.94,46102.84,46419.56,,
1.61E+12,46414.7,46540.31,46204.08,46336.37,,
1.61E+12,46336.38,46688.13,45959.7,46458.33,,
1.61E+12,46474.53,46486.33,45980,46200.47,,
1.61E+12,46200.46,46272.38,45641.02,45857.3,,
1.61E+12,45857.3,46425.61,45837.28,46288.18,,
1.61E+12,46291.87,47300,46272.1,47009.38,,
1.61E+12,47009.38,47500,46900,47350.12,,
1.61E+12,47347.51,47714.61,46968,47615.66,,
1.61E+12,47615.66,48050,47400,47722.78,,
1.61E+12,47722.42,48044.63,47450.32,47913.8,,
1.61E+12,47913.8,48441.96,47757.78,47799.33,,
1.61E+12,47799.34,48564.03,47580.1,48083.04,,
1.61E+12,48083.04,49298,48065.54,49188,,
1.61E+12,49187.99,49469.99,48530.36,49065.4,,
1.61E+12,49069.6,49200,48527.27,48565,,
1.61E+12,48565,48777.71,48233.33,48465.27,,
1.61E+12,48465.27,48700,48019.06,48262.83,,
1.61E+12,48262.66,48916.55,47876,48512.4,,
1.61E+12,48512.99,48872,48338.25,48784.09,,
1.61E+12,48784.46,49300,48588.89,49137.73,,
1.61E+12,49137.73,49790,49064.62,49587.03,,
1.61E+12,49595.76,50200,49278.94,49354.62,,
1.61E+12,49354.63,49699.93,48710,49368.6,,
1.61E+12,49368.6,49777,49045.45,49272.74,,
1.61E+12,49272.74,49398,48825,48974.75,,
1.61E+12,48974.74,49243,48544.75,49159.16,,
1.61E+12,49159.16,49402.07,48660.28,48672.07,,
1.61E+12,48673.88,48846.03,48333,48638.36,,
1.61E+12,48631.58,48833.1,48301.36,48331.61,,
1.61E+12,48331.6,49222,48270.69,48858.08,,
1.61E+12,48861.23,49265.54,48861.22,49144.23,,
1.61E+12,49144.22,49263.95,48550,48721.09,,
1.61E+12,48721.09,49047.06,48550,48844.13,,
1.61E+12,48844.14,49117,48568.98,48811.03,,
1.61E+12,48807.45,49076.7,48712.7,49000,,
1.61E+12,49000,49699.99,48769.32,48899.31,,
1.61E+12,48899.3,49043.99,48380.83,48676.08,,
1.61E+12,48676.09,48718.18,47265.79,47520.01,,
1.61E+12,47519.58,47982.45,47200,47852.63,,
1.61E+12,47852.63,48030.48,47526.31,47678.38,,
1.61E+12,47678.38,47944.43,47144.22,47467.43,,
1.61E+12,47467.43,47643.28,47047.6,47529.57,,
1.61E+12,47529.57,47870,47273.01,47407.03,,
1.61E+12,47407.25,47960,47331.96,47789.87,,
1.61E+12,47793.36,48489.24,47719.7,48440.65,,
1.61E+12,48436.61,48745.13,48100.71,48507.96,,
1.61E+12,48514.8,48882.43,48458.38,48848.63,,
1.61E+12,48848.63,49000.51,48528.92,48594.07,,
1.61E+12,48594.06,48839.27,48494.53,48704.75,,
1.61E+12,48704.75,49327.7,48653.09,49105.47,,
1.61E+12,49105.47,49466.69,48837,49079.64,,
1.61E+12,49078.59,49637.39,49078.59,49529.9,,
1.61E+12,49529.9,49960,49474.11,49752.97,,
1.61E+12,49752.97,50998,49752.97,50909.41,,
1.61E+12,50909.4,51495,50720,51445.31,,
1.61E+12,51445.31,51756.05,51187.07,51414.19,,
1.61E+12,51414.19,51777,51155.33,51666.33,,
1.61E+12,51665.83,52575.17,51355,52540.04,,
1.61E+12,52547.23,52640,51188.31,51559.5,,
1.61E+12,51559.63,51564.15,50651,50776.36,,
1.61E+12,50776.35,51155,50481,50767.36,,
1.61E+12,50767.35,51444.9,50750.02,51077,,
1.61E+12,51077,51449.84,50825.18,51307.78,,
1.61E+12,51305.5,51600,51100,51233.11,,
1.61E+12,51233.11,51257.29,50260,50857.17,,
1.61E+12,50857.17,51172.62,50431.37,50521.4,,
1.61E+12,50523.93,51123,50364.64,50958.6,,
1.61E+12,50956.1,51356.86,50500,50577.34,,
1.61E+12,50577.33,51068.99,50301.5,50349.37,,
1.61E+12,50349.37,51147.05,49850.81,50894.48,,
1.61E+12,50894.48,51622.94,50714.28,51475.19,,
1.61E+12,51475.14,51773.88,50790.55,50791.63,,
1.61E+12,50792.02,51033.47,49401.3,49574.89,,
1.61E+12,49574.89,49811.66,49010.1,49065.33,,
1.61E+12,49065.32,49698.43,49034.81,49661.35,,
1.61E+12,49664.4,49870,49237.49,49393.07,,
1.61E+12,49393.08,49816,49320,49696.49,,
1.61E+12,49701.37,50756.23,49688.46,50221.61,,
1.61E+12,50221.67,50225,48524.86,49069.98,,
1.61E+12,49069.99,49562.49,48747.46,49219.42,,
1.61E+12,49216.96,49499,48898.64,49323.32,,
1.61E+12,49323.31,49764.92,49113.63,49355.84,,
1.61E+12,49355.85,49710,48721.43,49633.44,,
1.61E+12,49633.44,50569.41,49205.13,49422.53,,
1.61E+12,49422.53,49812.41,48829.07,49412.6,,
1.61E+12,49412.6,50033.92,49300.01,49693.59,,
1.61E+12,49694.6,49927.34,48319.36,48508.07,,
1.61E+12,48508.01,48666.66,47588.52,47600.01,,
1.61E+12,47600,48394.04,47596.29,48000.36,,
1.61E+12,48000.37,48270.99,47500,48221,,
1.61E+12,48221,48434.68,47800,47955.77,,
1.61E+12,47955.78,48350,47859.16,48249.99,,
1.61E+12,48249.99,48710.94,48049,48374.09,,
1.61E+12,48374.09,48376.2,46512.9,46829.84,,
1.61E+12,46829.84,47000,46300,46709.94,,
1.61E+12,46709.95,47180.85,46366.33,47108.28,,
1.61E+12,47107.25,47339,46800.88,47289.81,,
1.61E+12,47289.81,47307.69,46500,46679.08,,
1.61E+12,46670.26,47253.17,46665.73,47153.13,,
1.61E+12,47153.13,47442.01,46954.81,47396.56,,
1.61E+12,47396.56,47547,47010.89,47380,,
1.61E+12,47380,47500,46418.12,46634.35,,
1.61E+12,46635.75,47157.43,46530,47063.51,,
1.61E+12,47063.5,47229.79,46780.01,47080.97,,
1.61E+12,47080.96,47523.59,47080.96,47478.87,,
1.61E+12,47478.86,47880,46974.32,47649.99,,
1.61E+12,47650,48296.93,47325.94,48056.18,,
1.61E+12,48061.21,48728.21,47936.51,48136.81,,
1.61E+12,48136.82,48698.19,47837.83,47867.45,,
1.61E+12,47867.45,47867.45,46885,47658.14,,
1.61E+12,47656.65,48237.42,47320,48096.01,,
1.61E+12,48096,48558.5,47918.38,48478.11,,
1.61E+12,48478.12,49400,48310.4,49295.47,,
1.61E+12,49285.76,49448.93,48832.17,49173.85,,
1.61E+12,49173.85,49398,48890.97,49035.21,,
1.61E+12,49035.2,49389.99,48673.71,49061.76,,
1.61E+12,49061.77,49160.29,48579.59,48751.71,,
1.61E+12,48746.81,49156,48675.67,48808.05,,
1.61E+12,48807.83,48901.65,48520,48647.38,,
1.62E+12,48647.37,48801.81,48350,48657.72,,
1.62E+12,48657.72,48687.49,48115.83,48451.16,,
1.62E+12,48450.12,48895.32,48193,48496.28,,
1.62E+12,48496.27,48971.29,48482.17,48922,,
1.62E+12,48922,49117.32,48772.24,48820.12,,
1.62E+12,48820.13,49100,48600,48641.64,,
1.62E+12,48641.65,48785,48270.01,48335.1,,
1.62E+12,48335.22,48499.99,48000,48035.36,,
1.62E+12,48035.37,48331.91,48000,48171.01,,
1.62E+12,48171.02,48212.85,47401.82,47660.74,,
1.62E+12,47660.75,47753.39,47070,47320.3,,
1.62E+12,47320.3,47725.51,47201.12,47560.96,,
1.62E+12,47562.67,47712.69,47238.32,47267.88,,
1.62E+12,47267.88,47941.03,47104.85,47757.43,,
1.62E+12,47755.08,48450,47655.01,48250.69,,
1.62E+12,48250.7,48623,48109.79,48473.3,,
1.62E+12,48473.3,48690.6,48248.27,48341.01,,
1.62E+12,48341,48734.84,48223.36,48518.5,,
1.62E+12,48518.51,48723,48264.63,48578.71,,
1.62E+12,48577.22,49200,48463.75,48920.88,,
1.62E+12,48920.87,49120.01,48805,48882.2,,
1.62E+12,48882.2,49312,48882.2,49203.25,,
1.62E+12,49203.25,49490,48982.17,49121.95,,
